,projectName,issue_count_for_project_x,issue_count_for_project_y,projectOccurrencesInProjectSplits,precision_weighted_average,recall_weighted_average,f1_weighted_average
0,spring-framework,11,165,15,0.9599478390461997,0.9393939393939394,0.9429578685777033
1,spring-security,20,180,9,0.8833333333333333,0.85,0.8654869933454324
2,spring-session,15,680,40,0.8583581887018092,0.85,0.8450630987206926
3,redisson,25,1325,53,0.8863236675602119,0.7690566037735849,0.8183939471927274
4,junit5,12,456,38,0.9351736111111111,0.7521929824561403,0.8032875478101127
5,async-http-client,14,448,32,0.8158331905333105,0.7232142857142857,0.7590144293981896
6,ALL_OTHERS,185,1349,100,0.611097985612891,0.5922905856189771,0.5991438069662411
7,hazelcast,16,448,28,0.6383388222264574,0.6004464285714286,0.5890953121168078
8,checkstyle,14,196,14,0.6230770400559626,0.5714285714285714,0.584336476653112
9,elasticsearch,41,3198,78,0.6048297936999013,0.5797373358348968,0.573358923635904
10,spring-boot,35,455,13,0.6746304134462028,0.5428571428571428,0.5389378123281628
11,n4js,12,264,22,0.5024145160124341,0.5189393939393939,0.5032621453094661
12,ExoPlayer,12,324,27,0.48126094185321344,0.4845679012345679,0.46405275367690585
