,projectName,issue_count_for_project_x,issue_count_for_project_y,projectOccurrencesInProjectSplits,precision_weighted_average,recall_weighted_average,f1_weighted_average
0,spring-framework,11,165,15,0.8707964740573436,0.8545454545454545,0.8555812555492419
1,junit5,12,456,38,0.9112676056338028,0.8026315789473685,0.8254199928511854
2,redisson,25,1325,53,0.8427835342509581,0.7969811320754717,0.8191769037075258
3,async-http-client,14,448,32,0.8275471159568195,0.7834821428571429,0.7899766746663299
4,spring-security,20,180,9,0.7963636363636364,0.7666666666666667,0.7796153846153846
5,spring-session,15,680,40,0.6995206389454057,0.7308823529411764,0.705019722804332
6,ExoPlayer,12,324,27,0.6813330930994276,0.7222222222222222,0.692894837106414
7,hazelcast,16,448,28,0.6831472729248153,0.6294642857142857,0.6356399352252385
8,ALL_OTHERS,185,1349,100,0.6329778200094961,0.6249073387694588,0.6265725446623501
9,n4js,12,264,22,0.7628031584884376,0.6515151515151515,0.6159305201858394
10,checkstyle,14,196,14,0.5597689075630252,0.6428571428571429,0.5979871815244452
11,elasticsearch,41,3198,78,0.6043193913571175,0.5781738586616635,0.5552867242559231
12,spring-boot,35,455,13,0.7586685641998736,0.5538461538461539,0.5411334473255959
