,projectName,issue_count_for_project_x,issue_count_for_project_y,projectOccurrencesInProjectSplits,precision_weighted_average,recall_weighted_average,f1_weighted_average
0,spring-framework,11,165,15,0.9599478390461997,0.9393939393939394,0.9429578685777033
1,spring-security,20,180,9,0.857016632016632,0.85,0.8518421485467234
2,junit5,12,456,38,0.9343490647838474,0.8201754385964912,0.8517322883268537
3,redisson,25,1325,53,0.8876105323219331,0.8256603773584905,0.8486812090985218
4,spring-session,15,680,40,0.803058282005719,0.8,0.79299135341205
5,ExoPlayer,12,324,27,0.793070818070818,0.7777777777777778,0.7839178678477934
6,async-http-client,14,448,32,0.837825894759301,0.7566964285714286,0.7706601041960945
7,hazelcast,16,448,28,0.7618427493757821,0.7410714285714286,0.7362156540070617
8,ALL_OTHERS,185,1349,100,0.7080367865740984,0.6968124536693847,0.700277356237153
9,checkstyle,14,196,14,0.7280029531192322,0.6989795918367347,0.6775436226740333
10,elasticsearch,41,3198,78,0.6937223632998053,0.66729205753596,0.6637444757733486
11,spring-boot,35,455,13,0.6939555340606819,0.5604395604395604,0.5530456944047883
12,n4js,12,264,22,0.6150697644649257,0.5946969696969697,0.5303214996843282
