,projectName,issue_count_for_project_x,issue_count_for_project_y,projectOccurrencesInProjectSplits,precision_weighted_average,recall_weighted_average,f1_weighted_average
0,spring-framework,11,165,15,0.9554347052825447,0.9454545454545454,0.9469444187999243
1,spring-security,20,180,9,0.8889860139860141,0.8833333333333333,0.8852264150943395
2,redisson,25,1325,53,0.8947252444766389,0.8384905660377359,0.8626093298869071
3,junit5,12,456,38,0.9287328130806392,0.8201754385964912,0.8504449151603006
4,ExoPlayer,12,324,27,0.8152012116646262,0.8117283950617284,0.8130332150691003
5,spring-session,15,680,40,0.7795685492360162,0.7823529411764706,0.7729239462107866
6,async-http-client,14,448,32,0.8158294618592079,0.7165178571428571,0.7346676724431944
7,hazelcast,16,448,28,0.7350368071273244,0.6964285714285714,0.6907809358620902
8,ALL_OTHERS,185,1349,100,0.6976679542950174,0.6797627872498146,0.6855850742966988
9,elasticsearch,41,3198,78,0.6845532673267865,0.6604127579737336,0.6603827088846621
10,checkstyle,14,196,14,0.6618051916291094,0.6530612244897959,0.6202030574149145
11,spring-boot,35,455,13,0.6936049496102097,0.5626373626373626,0.5545329808140246
12,n4js,12,264,22,0.5466089466089468,0.5606060606060606,0.4988315246688453
