,doc,url,correct,target,prediction,count
10,"Add jsp-api to security sample
",https://github.com/spring-projects/spring-session/issues/279,1.0,2.0,2.0,280
353,"[BUG] gitignore file imperfect
I forked the project and checkout branch dev-db, Then i run 'mvn clean install -Prelease -Dmaven.test.skip=true' to build the project. I found 
`dolphinscheduler-dist/dolphinscheduler-backend/target` 
`dolphinscheduler-dist/dolphinscheduler-front/target/` 
`dolphinscheduler-dist/dolphinscheduler-src/target/` 
`dolphinscheduler-ui/dist` 
`dolphinscheduler-ui/node` 
was in the untracked files list.

I checked the .gitignore file and found it is imperfect. To solve it we can edit the .gitignore file and add this lines:
`**/**/target/**`
`dolphinscheduler-ui/dist`
`dolphinscheduler-ui/dist`

@qiaozhanwei  
Is it a bug? And can I update the .gitignore file?",https://github.com/apache/incubator-dolphinscheduler/issues/1420,1.0,2.0,2.0,7
404,"v3.1/4.0: Javadoc-Fix for ChronoFormatter#toFormat()
In version v3.0, updating the javadoc was forgotten. Some new elements are missing in current javadoc describing the mapping from Time4J-elements to `DateFormat.Field`-constants.
",https://github.com/MenoData/Time4J/issues/267,1.0,2.0,2.0,77
113,"Fix WebClient Memory Leaks
<!--
For Security Vulnerabilities, please use https://pivotal.io/security#reporting
-->

### Summary

The [documentation](https://docs.spring.io/spring-framework/docs/current/spring-framework-reference/web-reactive.html#webflux-client-exchange) states:

> When you use exchange(), you must always use any of the body or toEntity methods of ClientResponse to ensure resources are released and to avoid potential issues with HTTP connection pooling. You can use bodyToMono(Void.class) if no response content is expected. However, if the response does have content, the connection is closed and is not placed back in the pool.

There are multiple places where the status is looked at and if it isn't 2xx then it throws an exception without consuming the body which causes a leak.
",https://github.com/spring-projects/spring-security/issues/7293,1.0,1.0,1.0,63
122,"Generated code doesn't compile when custom type mapper maps to a nullable primitive type
The generated `hashCode()` attempts to take `Integer.hashCode(myEntity.getMyIntField())` even though `myEntity.getMyIntField()` returns an `OptionalInt`.",https://github.com/speedment/speedment/issues/628,1.0,3.0,3.0,35
128,"Hazelcast do not clean up lock after member restart
We have hazelcast cluster with 3 members: arbiter and 2 nodes, and quorum rule with two members to manage some lock. Nodes trying to get lock, arbiter do nothing.
Sometimes both nodes can start to indefinitely wait lock, for example:
1. arbiter, node1 and node2 started
2. node1 got lock, node2 waits
3. node1 shutdown
4. node2 got lock
5. node2 shutdown
6. node2 starts again
7. node2 indefinitely wait lock, lock owner uuid = {previous instance of node2} that was already gracefully (or not, tested both) shutdowned

Tested on 3.10.1, 3.10.6, 3.11. jdk1.8.0_181

Example:
```java
package hazelcast;

import com.hazelcast.config.Config;
import com.hazelcast.config.LockConfig;
import com.hazelcast.config.QuorumConfig;
import com.hazelcast.core.Hazelcast;
import com.hazelcast.core.HazelcastInstance;
import com.hazelcast.core.ILock;
import org.junit.Test;
import org.slf4j.Logger;
import org.slf4j.LoggerFactory;

public class HazelcastLockTest {

	private static final Logger LOGGER = LoggerFactory.getLogger(HazelcastLockTest.class);

	private static final String LOCK = ""MY_LOCK"";

	@Test
	public void testLock() {
		final Config config = new Config();
		config.getGroupConfig().setName(""test"");
		config.getNetworkConfig().getJoin().getMulticastConfig().setEnabled(false);
		config.getNetworkConfig().getJoin().getTcpIpConfig()
				.setEnabled(true)
				.addMember(""127.0.0.1:13703"")
				.addMember(""127.0.0.1:13704"")
				.addMember(""127.0.0.1:13705"");
		config.getQuorumConfigs()
				.put(""quorumRuleWithTwoMembers"", new QuorumConfig(""quorumRuleWithTwoMembers"", true, 2));
		config.addLockConfig(new LockConfig(LOCK).setQuorumName(""quorumRuleWithTwoMembers""));

		// Start arbiter and two nodes: primary and secondary
		config.getNetworkConfig().setPort(13703);
		final HazelcastInstance arbiter = Hazelcast.newHazelcastInstance(config);

		config.getNetworkConfig().setPort(13704);
		final HazelcastInstance primary = Hazelcast.newHazelcastInstance(config);

		config.getNetworkConfig().setPort(13705);
		final HazelcastInstance secondary = Hazelcast.newHazelcastInstance(config);

		{
			final ILock primaryLock = primary.getLock(LOCK);
			LOGGER.info(""PRIMARY READY TO GET LOCK: {} is {}, {}"", primaryLock.getLockCount(),
					primaryLock.isLocked(), primaryLock.getLockCount());
			primaryLock.lock();
			LOGGER.info(""PRIMARY LOCKED"");
		}

		// Shutdown primary
		primary.shutdown();

		{
			final ILock secondaryLock = secondary.getLock(LOCK);
			LOGGER.info(""SECONDARY READY TO GET LOCK: {} is {}, {}"", secondaryLock.getLockCount(),
					secondaryLock.isLocked(), secondaryLock.getLockCount());
			secondaryLock.lock();
			LOGGER.info(""SECONDARY LOCKED"");
		}

		// Shutdown secondary
		secondary.shutdown();

		// Start secondary again
		config.getNetworkConfig().setPort(13705);
		final HazelcastInstance secondaryRestarted = Hazelcast.newHazelcastInstance(config);

		{
			final ILock secondaryLock = secondaryRestarted.getLock(LOCK);
			LOGGER.info(""SECONDARY READY TO GET LOCK again: {} is {}, {}"", secondaryLock.getLockCount(),
					secondaryLock.isLocked(), secondaryLock.getLockCount());
			secondaryLock.lock(); // TODO fails here, indefinitely wait
		}

		// Shutdown arbiter and secondary
		arbiter.shutdown();
		secondaryRestarted.shutdown();
	}

}
```
",https://github.com/hazelcast/hazelcast/issues/14215,1.0,0.0,0.0,196
350,"Wrong Dependency in Spring Boot Tutorial
I just noticed that the 'spring-boot-starter-redis' dependency in the spring boot tutorial (https://docs.spring.io/spring-session/docs/current/reference/html5/guides/boot.html) is not longer valid and should be 'spring-boot-starter-data-redis' instead.",https://github.com/spring-projects/spring-session/issues/952,1.0,2.0,2.0,280
132,"HonoConnection.shutdown() blocks for 5s if called on event loop thread
`HonoConnection.shutdown()` blocks the current thread for 5s waiting for the close frame from the remote peer.
If the current thread is the thread of the vertx context that the HonoConnection operates on, the response from the remote peer can't be processed while the thread is blocked, causing for the 5s timeout to occur.

Same applies to the `disconnect` method.",https://github.com/eclipse/hono/issues/1750,1.0,0.0,0.0,42
5,"2.4.2 RC1: Connection leak detection false positive
I tried 2.4.2 RC1 in replacement to 2.4.1.

Without any changes to the app, HikariCP reports a connection leak after pool-initialization.
But there is no leaking connection: one connection in pool, one idle, one connection to the database.

Excerpt from log (pool configuration and leak alert):

```
[#| 16.10.2015 14:01:05.887 | ... | DEBUG com.zaxxer.hikari.HikariConfig 
dev - configuration:
allowPoolSuspension.............false
autoCommit......................true
catalog.........................
connectionInitSql...............
connectionTestQuery.............
connectionTimeout...............2000
dataSource......................
dataSourceClassName.............org.postgresql.ds.PGSimpleDataSource
dataSourceJNDI..................
dataSourceProperties............{serverName=…, socketTimeout=15, user=…, databaseName=…, tcpKeepAlive=true, prepareThreshold=0, password=<masked>, portNumber=, loginTimeout=15}
driverClassName.................
healthCheckProperties...........{}
healthCheckRegistry.............
idleTimeout.....................1200000
initializationFailFast..........true
isolateInternalQueries..........false
jdbc4ConnectionTest.............false
jdbcUrl.........................
leakDetectionThreshold..........10000
maxLifetime.....................43200000
maximumPoolSize.................50
metricRegistry..................com.codahale.metrics.MetricRegistry@148da145
metricsTrackerFactory...........
minimumIdle.....................0
password........................<masked>
poolName........................dev
readOnly........................false
registerMbeans..................true
scheduledExecutorService........
threadFactory……………….<customClass>$1@21540445
transactionIsolation............
username........................
validationTimeout...............2000
dev - is starting.
dev - Connection.setNetworkTimeout() is not supported (...)
|#]

[#| 16.10.2015 14:01:05.927 | … | DEBUG com.zaxxer.hikari.pool.HikariPool 
dev - Added connection org.postgresql.jdbc4.Jdbc4Connection@3a4a6161
|#]

[#| 16.10.2015 14:01:05.928 | ... | DEBUG com.zaxxer.hikari.pool.PoolBase 
dev - Closing connection org.postgresql.jdbc4.Jdbc4Connection@3a4a6161: (connection evicted by user)
|#]


…<no action from app>...


[#| 16.10.2015 14:01:15.948 | ... | WARN  com.zaxxer.hikari.pool.ProxyLeakTask 
Connection leak detection triggered for connection org.postgresql.jdbc4.Jdbc4Connection@3a4a6161, stack trace follows
java.lang.Exception: Apparent connection leak detected
    at com.zaxxer.hikari.pool.HikariPool.<init>(HikariPool.java:138) ~[HikariCP-2.4.2-RC1.jar:na]
    at com.zaxxer.hikari.HikariDataSource.<init>(HikariDataSource.java:71) ~[HikariCP-2.4.2-RC1.jar:na]
    ...
|#]

[#| 16.10.2015 14:01:35.897 | … | DEBUG com.zaxxer.hikari.pool.HikariPool 
Before cleanup  pool dev stats (total=1, active=0, idle=1, waiting=0)
```
",https://github.com/brettwooldridge/HikariCP/issues/465,1.0,1.0,1.0,119
133,"IMA Extension Memory Leak
### Issue description
Using IMA Extension and in the sample main demo app, a memory leak happens when you serve a VMAP and quit the player activity during content playback and after ad/pods playback.

In my opinion, it's an IMA problem and managed to reproduce the issue even without an IMA Extension and following exactly their integration guide but according to them they're claiming it's an IMA-Extension problem and not theirs
https://groups.google.com/forum/#!topic/ima-sdk/ZM-WsPL1xdQ


### Reproduction steps
- In the Main Demo app, use any video and set the following sample adtag uri:
https://pubads.g.doubleclick.net/gampad/ads?sz=640x480&iu=/124319096/external/ad_rule_samples&ciu_szs=300x250&ad_rule=1&impl=s&gdfp_req=1&env=vp&output=vmap&unviewed_position_start=1&cust_params=deployment%3Ddevsite%26sample_ar%3Dpremidpostlongpod&cmsid=496&vid=short_tencue&correlator=
- When pre-roll finishes and content video plays for few seconds, press back to return to the home screen, PlayerActivity gets leaked


### Link to test content
Provide a link to media that reproduces the issue. If you don't wish to post it
publicly, please submit the issue, then email the link to
dev.exoplayer@gmail.com using a subject in the format ""Issue #1234"".


### Version of ExoPlayer being used
V2.7.3


### Device(s) and version(s) of Android being used
Tested on Pixel XL (Oreo 8.1), Xperia XZ (Oreo 8.0) but can be reproduced on any device",https://github.com/google/ExoPlayer/issues/4114,1.0,1.0,1.0,189
