url,RootCause,RootCauseDetail,Confidence
https://github.com/eXist-db/exist/issues/1293,Concurrency,Other,9
https://github.com/eXist-db/exist/issues/1415,Concurrency,Other,9
https://github.com/elastic/elasticsearch/issues/12212,Memory,Memory leak,9
https://github.com/netty/netty/issues/4205,Memory,Memory leak,9
https://github.com/reactor/reactor-core/issues/1070,Memory,Memory leak,9
https://github.com/elastic/elasticsearch/issues/5871,NAB,,9
https://github.com/elastic/elasticsearch/issues/2657,NAB,,9
https://github.com/elastic/elasticsearch/issues/4486,Other,Documentation,9
https://github.com/haraldk/TwelveMonkeys/issues/399,Semantic,Re-implementation,10
https://github.com/bazelbuild/bazel/issues/3763,Semantic,Missing case complex,10
https://github.com/mapsforge/mapsforge/issues/753,Semantic,Wrong method used,10
https://github.com/netty/netty/issues/2252,Semantic,Data missing / not propagated,10
https://github.com/spring-projects/spring-boot/issues/18910,Semantic,Wrong class used,10
https://github.com/aol/cyclops/issues/276,Semantic,Data missing / not propagated,10
https://github.com/naver/pinpoint/issues/5261,Semantic,Missing case complex,10
https://github.com/netty/netty/issues/4247,Semantic,Wrong method used,10
https://github.com/eclipse/ceylon-ide-eclipse/issues/1711,Semantic,Null check,10
https://github.com/eclipse/n4js/issues/1443,Semantic,If (branch) missing,10
https://github.com/netty/netty/issues/2544,Semantic,Missing case complex,10
https://github.com/checkstyle/checkstyle/issues/2811,Semantic,Missing case complex,10
https://github.com/restlet/restlet-framework-java/issues/1038,Semantic,Wrong method used,10
https://github.com/redisson/redisson/issues/102,Semantic,Wrong method used,10
https://github.com/AsyncHttpClient/async-http-client/issues/1434,Semantic,If condition incorrect,10
https://github.com/spring-projects/spring-boot/issues/139,Semantic,If (branch) missing,10
https://github.com/grpc/grpc-java/issues/2726,Semantic,Call order incorrect,10
https://github.com/spring-projects/spring-boot/issues/12447,Semantic,Incorrect flow,10
https://github.com/eclipse/elk/issues/457,Semantic,Scope wrong,10
https://github.com/netty/netty/issues/7156,Semantic,If condition incorrect,10
https://github.com/spring-projects/spring-boot/issues/14665,Semantic,If condition incorrect,10
https://github.com/eclipse/jetty.project/issues/355,Semantic,Wrong exception,10
https://github.com/netty/netty/issues/1830,Semantic,Missing implementation (Big),10
https://github.com/netty/netty/issues/1898,Semantic,Exception processing,9
https://github.com/elastic/elasticsearch/issues/10351,Semantic,Missing exception handling,9
https://github.com/mybatis/mybatis-3/issues/61,Semantic,Method override missing,9
https://github.com/elastic/elasticsearch/issues/4960,Semantic,Incorrect flow,9
https://github.com/spring-projects/spring-boot/issues/145,Semantic,Null check,9
https://github.com/spring-projects/spring-framework/issues/24861,Semantic,If (branch) missing,9
https://github.com/spring-projects/spring-framework/issues/22603,Semantic,Incorrect flow,9
https://github.com/pmd/pmd/issues/1990,Semantic,Data missing / not propagated,9
https://github.com/elastic/elasticsearch/issues/11870,Semantic,Missing evaluation,9
https://github.com/netty/netty/issues/4265,Semantic,Exception should not be thrown,9
https://github.com/skylot/jadx/issues/685,Semantic,Complex change,9
https://github.com/MenoData/Time4J/issues/809,Semantic,Missing case complex,9
https://github.com/spring-projects/spring-boot/issues/2220,Semantic,Call missing,9
https://github.com/netty/netty/issues/1390,Semantic,Missing implementation (Big),9
https://github.com/eclipse/ceylon-ide-eclipse/issues/1020,Semantic,Complex change,9
https://github.com/hazelcast/hazelcast/issues/3633,Semantic,Wrong evaluation,9
https://github.com/hazelcast/hazelcast/issues/258,Semantic,Data missing / not propagated,9
https://github.com/spring-projects/spring-boot/issues/5517,Semantic,Other,9
https://github.com/intuit/karate/issues/244,Semantic,Missing evaluation,9
https://github.com/speedment/speedment/issues/628,Semantic,Missing case complex,9
https://github.com/netty/netty/issues/2014,Semantic,Missing case complex,9
https://github.com/eclipse/lemminx/issues/574,Semantic,Complex change,9
https://github.com/spring-projects/spring-boot/issues/836,Semantic,Missing case complex,9
https://github.com/bazelbuild/bazel/issues/5815,Semantic,Incorrect value,9
https://github.com/spring-projects/spring-boot/issues/4552,Semantic,Missing case complex,9
https://github.com/netty/netty/issues/278,Semantic,Wrong method,9
https://github.com/spring-projects/spring-boot/issues/9797,Semantic,Call missing,9
https://github.com/elastic/elasticsearch/issues/6279,Semantic,Missing case complex,9
https://github.com/netty/netty/issues/258,Semantic,Native overflow,9
https://github.com/intuit/karate/issues/773,Semantic,Missing case complex,9
https://github.com/google/closure-compiler/issues/717,Semantic,Missing implementation (Big),9
https://github.com/spring-projects/spring-security/issues/5163,Semantic,Scope wrong,9
https://github.com/netty/netty/issues/769,Semantic,If (branch) missing,9
https://github.com/elastic/elasticsearch/issues/5622,Semantic,If (branch) missing,9
https://github.com/bytedeco/javacv/issues/1179,Semantic,Equation missing,9
https://github.com/spring-projects/spring-session/issues/154,Semantic,If condition missing,9
https://github.com/MenoData/Time4J/issues/577,Semantic,Missing case complex,9
https://github.com/bazelbuild/bazel/issues/1166,Semantic,If (branch) missing,9
https://github.com/spring-projects/spring-boot/issues/12965,Semantic,If (branch) missing,9
https://github.com/netty/netty/issues/5045,Semantic,Call missing,9
https://github.com/AsyncHttpClient/async-http-client/issues/939,Semantic,If (branch) missing,9
https://github.com/graphhopper/graphhopper/issues/1223,Semantic,If (branch) missing,9
https://github.com/spring-projects/spring-security/issues/4794,Semantic,Call order incorrect,9
https://github.com/BroadleafCommerce/BroadleafCommerce/issues/705,Semantic,Null check,9
https://github.com/skylot/jadx/issues/711,Semantic,"Missing implem,entation",9
https://github.com/MenoData/Time4J/issues/807,Semantic,If condition incorrect,9
https://github.com/spring-projects/spring-boot/issues/2218,Semantic,Missing exception handling,9
https://github.com/spring-projects/spring-boot/issues/19949,Semantic,Missing implementation,9
https://github.com/spring-projects/spring-framework/issues/23551,Semantic,Data missing / not propagated,9
https://github.com/BroadleafCommerce/BroadleafCommerce/issues/497,Semantic,Incorrect annotation,9
https://github.com/hazelcast/hazelcast/issues/166,Semantic,Wrong scope,8
https://github.com/elastic/elasticsearch/issues/2461,Semantic,Missing case complex,8
https://github.com/redisson/redisson/issues/2153,Semantic,Complex change,8
https://github.com/spring-projects/spring-framework/issues/24088,Semantic,Complex change,8
https://github.com/eclipse/n4js/issues/560,Semantic,Missing case complex,8
https://github.com/hazelcast/hazelcast/issues/14358,Semantic,Complex change,8
https://github.com/eclipse/ceylon-ide-eclipse/issues/1522,Semantic,Missing case complex,8
